变量,滞后步数,滞后秒数,相关系数,绝对相关系数
2#风箱负压,0,0,-0.0910114347859106,0.0910114347859106
2#风箱负压,1,2,-0.10156759667335825,0.10156759667335825
2#风箱负压,2,4,-0.10206015883141319,0.10206015883141319
2#风箱负压,3,6,-0.08998706642238169,0.08998706642238169
2#风箱负压,4,8,-0.07154967904548541,0.07154967904548541
2#风箱负压,5,10,-0.049049960637911956,0.049049960637911956
2#风箱负压,6,12,-0.025830273197079236,0.025830273197079236
2#风箱负压,7,14,-0.009191173565668733,0.009191173565668733
2#风箱负压,8,16,0.0038538653478685818,0.0038538653478685818
2#风箱负压,9,18,0.011214098205520285,0.011214098205520285
2#风箱负压,10,20,0.016447007681953382,0.016447007681953382
2#风箱负压,11,22,0.019484173298641133,0.019484173298641133
2#风箱负压,12,24,0.0267583484056224,0.0267583484056224
2#风箱负压,13,26,0.03135250831321665,0.03135250831321665
2#风箱负压,14,28,0.0329175770942389,0.0329175770942389
2#风箱负压,15,30,0.025001442810171005,0.025001442810171005
2#风箱负压,16,32,0.015221882937257266,0.015221882937257266
2#风箱负压,17,34,0.0010635863335748117,0.0010635863335748117
2#风箱负压,18,36,-0.01313013497851653,0.01313013497851653
2#风箱负压,19,38,-0.024280864189438593,0.024280864189438593
2#风箱负压,20,40,-0.025311364631577786,0.025311364631577786
2#风箱负压,21,42,-0.01649095998154663,0.01649095998154663
2#风箱负压,22,44,-0.008771912866053846,0.008771912866053846
2#风箱负压,23,46,0.006692814521564809,0.006692814521564809
2#风箱负压,24,48,0.013851495063251321,0.013851495063251321
2#风箱负压,25,50,0.011055768794399895,0.011055768794399895
2#风箱负压,26,52,0.01923124407462727,0.01923124407462727
2#风箱负压,27,54,0.016718781390117853,0.016718781390117853
2#风箱负压,28,56,0.024881139417722957,0.024881139417722957
2#风箱负压,29,58,0.03821217869054093,0.03821217869054093
2#风箱负压,30,60,0.03486132408742637,0.03486132408742637
2#风箱负压,31,62,0.029738949156540892,0.029738949156540892
2#风箱负压,32,64,0.026881644537676695,0.026881644537676695
2#风箱负压,33,66,0.02257574992029281,0.02257574992029281
2#风箱负压,34,68,0.02308987850187599,0.02308987850187599
2#风箱负压,35,70,0.023043124665422913,0.023043124665422913
2#风箱负压,36,72,0.021188065015876188,0.021188065015876188
2#风箱负压,37,74,0.024139579169069728,0.024139579169069728
2#风箱负压,38,76,0.03228830869079982,0.03228830869079982
2#风箱负压,39,78,0.04120936765398308,0.04120936765398308
2#风箱负压,40,80,0.051323719287344444,0.051323719287344444
2#风箱负压,41,82,0.054451330675244915,0.054451330675244915
2#风箱负压,42,84,0.050748368236227206,0.050748368236227206
2#风箱负压,43,86,0.04415015477335518,0.04415015477335518
2#风箱负压,44,88,0.03572863914521816,0.03572863914521816
2#风箱负压,45,90,0.031785224029133696,0.031785224029133696
2#风箱负压,46,92,0.027456097794328865,0.027456097794328865
2#风箱负压,47,94,0.02821752138330541,0.02821752138330541
2#风箱负压,48,96,0.03261997251866184,0.03261997251866184
2#风箱负压,49,98,0.033106696437544006,0.033106696437544006
2#风箱负压,50,100,0.03398327418002386,0.03398327418002386
2#风箱负压,51,102,0.03532221074755117,0.03532221074755117
2#风箱负压,52,104,0.029811757904152813,0.029811757904152813
2#风箱负压,53,106,0.024997529698961296,0.024997529698961296
2#风箱负压,54,108,0.020238458519770196,0.020238458519770196
2#风箱负压,55,110,0.01427197905134079,0.01427197905134079
2#风箱负压,56,112,0.007285585881976355,0.007285585881976355
2#风箱负压,57,114,0.00039593688916545914,0.00039593688916545914
2#风箱负压,58,116,-0.003985996883893876,0.003985996883893876
2#风箱负压,59,118,-0.005260274258643003,0.005260274258643003
2#风箱负压,60,120,-0.0038619266277180233,0.0038619266277180233
2#风箱负压,61,122,-0.001612483204426858,0.001612483204426858
2#风箱负压,62,124,0.0008211985297674564,0.0008211985297674564
2#风箱负压,63,126,0.0022450034427277028,0.0022450034427277028
2#风箱负压,64,128,0.0030136037121610854,0.0030136037121610854
2#风箱负压,65,130,0.007408577858298227,0.007408577858298227
2#风箱负压,66,132,0.005148915832808965,0.005148915832808965
2#风箱负压,67,134,-0.00026737126803979183,0.00026737126803979183
2#风箱负压,68,136,-0.005453002683697298,0.005453002683697298
2#风箱负压,69,138,-0.00987084119969533,0.00987084119969533
2#风箱负压,70,140,-0.012694575220624811,0.012694575220624811
2#风箱负压,71,142,-0.011817015530293656,0.011817015530293656
2#风箱负压,72,144,-0.009907270830243233,0.009907270830243233
2#风箱负压,73,146,-0.0052981146708527055,0.0052981146708527055
2#风箱负压,74,148,-0.0029199756723183746,0.0029199756723183746
2#风箱负压,75,150,-0.0028526880390026795,0.0028526880390026795
2#风箱负压,76,152,-0.004932833857718949,0.004932833857718949
2#风箱负压,77,154,-0.010402939256351178,0.010402939256351178
2#风箱负压,78,156,-0.016733836358978356,0.016733836358978356
2#风箱负压,79,158,-0.02216026383571607,0.02216026383571607
2#风箱负压,80,160,-0.023380927478075658,0.023380927478075658
3#风箱负压,0,0,-0.04391029102068572,0.04391029102068572
3#风箱负压,1,2,-0.04197845821961239,0.04197845821961239
3#风箱负压,2,4,-0.03433719681251071,0.03433719681251071
3#风箱负压,3,6,-0.019929504572784324,0.019929504572784324
3#风箱负压,4,8,-0.011382630783372415,0.011382630783372415
3#风箱负压,5,10,-0.008153843972819921,0.008153843972819921
3#风箱负压,6,12,-0.010265305144204661,0.010265305144204661
3#风箱负压,7,14,-0.01585178373229281,0.01585178373229281
3#风箱负压,8,16,-0.01934674836249538,0.01934674836249538
3#风箱负压,9,18,-0.0192166029997183,0.0192166029997183
3#风箱负压,10,20,-0.018753188088352694,0.018753188088352694
3#风箱负压,11,22,-0.022407443106050192,0.022407443106050192
3#风箱负压,12,24,-0.021957291101001527,0.021957291101001527
3#风箱负压,13,26,-0.023495272618218307,0.023495272618218307
3#风箱负压,14,28,-0.01661433725171781,0.01661433725171781
3#风箱负压,15,30,-0.03318999136397978,0.03318999136397978
3#风箱负压,16,32,-0.012450122646022662,0.012450122646022662
3#风箱负压,17,34,-0.0023988561883536044,0.0023988561883536044
3#风箱负压,18,36,0.0028562898378793537,0.0028562898378793537
3#风箱负压,19,38,0.0029395028832090065,0.0029395028832090065
3#风箱负压,20,40,0.0044365631591543235,0.0044365631591543235
3#风箱负压,21,42,0.004135694541244741,0.004135694541244741
3#风箱负压,22,44,-0.024856028166695257,0.024856028166695257
3#风箱负压,23,46,-0.0175253101737303,0.0175253101737303
3#风箱负压,24,48,-0.022654522588835182,0.022654522588835182
3#风箱负压,25,50,-0.07101017871227587,0.07101017871227587
3#风箱负压,26,52,-0.06452384698939535,0.06452384698939535
3#风箱负压,27,54,-0.08276303668192526,0.08276303668192526
3#风箱负压,28,56,-0.07863550750107771,0.07863550750107771
3#风箱负压,29,58,-0.02690561055710863,0.02690561055710863
3#风箱负压,30,60,0.001317328088269676,0.001317328088269676
3#风箱负压,31,62,0.00469231004870117,0.00469231004870117
3#风箱负压,32,64,0.016008658989908164,0.016008658989908164
3#风箱负压,33,66,0.019056413935272198,0.019056413935272198
3#风箱负压,34,68,-0.001184738533479384,0.001184738533479384
3#风箱负压,35,70,-0.014734985269707564,0.014734985269707564
3#风箱负压,36,72,-0.018537955244298646,0.018537955244298646
3#风箱负压,37,74,-0.02864249858465997,0.02864249858465997
3#风箱负压,38,76,-0.02738382777505726,0.02738382777505726
3#风箱负压,39,78,-0.017054636481931052,0.017054636481931052
3#风箱负压,40,80,-0.012563674962321946,0.012563674962321946
3#风箱负压,41,82,-0.0066511415645797815,0.0066511415645797815
3#风箱负压,42,84,0.0010137214787626153,0.0010137214787626153
3#风箱负压,43,86,0.0016428675269150345,0.0016428675269150345
3#风箱负压,44,88,0.0014455275906745506,0.0014455275906745506
3#风箱负压,45,90,0.005822599398767996,0.005822599398767996
3#风箱负压,46,92,-0.007390721950474004,0.007390721950474004
3#风箱负压,47,94,0.003105263056951597,0.003105263056951597
3#风箱负压,48,96,0.008999414479663126,0.008999414479663126
3#风箱负压,49,98,0.004750394767363724,0.004750394767363724
3#风箱负压,50,100,-0.002974667310490196,0.002974667310490196
3#风箱负压,51,102,-0.008251336292489284,0.008251336292489284
3#风箱负压,52,104,-0.01240443115248773,0.01240443115248773
3#风箱负压,53,106,-0.01727224466048793,0.01727224466048793
3#风箱负压,54,108,-0.017443943682130827,0.017443943682130827
3#风箱负压,55,110,-0.021866302115937226,0.021866302115937226
3#风箱负压,56,112,-0.025571800939963262,0.025571800939963262
3#风箱负压,57,114,-0.029072166989944522,0.029072166989944522
3#风箱负压,58,116,-0.03123816478287338,0.03123816478287338
3#风箱负压,59,118,-0.02983319135146393,0.02983319135146393
3#风箱负压,60,120,-0.028468092659254134,0.028468092659254134
3#风箱负压,61,122,-0.029065544721443317,0.029065544721443317
3#风箱负压,62,124,-0.02726976366722062,0.02726976366722062
3#风箱负压,63,126,-0.02295977059152854,0.02295977059152854
3#风箱负压,64,128,-0.02470233633869541,0.02470233633869541
3#风箱负压,65,130,-0.017688918679316913,0.017688918679316913
3#风箱负压,66,132,-0.017844714924363105,0.017844714924363105
3#风箱负压,67,134,-0.02522273499095207,0.02522273499095207
3#风箱负压,68,136,-0.029675902884212513,0.029675902884212513
3#风箱负压,69,138,-0.02929512694694991,0.02929512694694991
3#风箱负压,70,140,-0.03132229420998352,0.03132229420998352
3#风箱负压,71,142,-0.03391254536186442,0.03391254536186442
3#风箱负压,72,144,-0.034662497601022975,0.034662497601022975
3#风箱负压,73,146,-0.03262892731270251,0.03262892731270251
3#风箱负压,74,148,-0.029423926645434934,0.029423926645434934
3#风箱负压,75,150,-0.032240761711797704,0.032240761711797704
3#风箱负压,76,152,-0.03785924823622184,0.03785924823622184
3#风箱负压,77,154,-0.039784788149916435,0.039784788149916435
3#风箱负压,78,156,-0.041407715447783225,0.041407715447783225
3#风箱负压,79,158,-0.04756341045852329,0.04756341045852329
3#风箱负压,80,160,-0.04628770975451737,0.04628770975451737
4#风箱负压,0,0,-0.05807124892367733,0.05807124892367733
4#风箱负压,1,2,-0.05799377395553946,0.05799377395553946
4#风箱负压,2,4,-0.04078937572626004,0.04078937572626004
4#风箱负压,3,6,-0.021241062568794777,0.021241062568794777
4#风箱负压,4,8,-0.013039152029760217,0.013039152029760217
4#风箱负压,5,10,-0.008008172836419405,0.008008172836419405
4#风箱负压,6,12,-0.0064617985677309225,0.0064617985677309225
4#风箱负压,7,14,-0.010983209564683221,0.010983209564683221
4#风箱负压,8,16,-0.013209265099776485,0.013209265099776485
4#风箱负压,9,18,-0.013396261045310923,0.013396261045310923
4#风箱负压,10,20,-0.016484972242958373,0.016484972242958373
4#风箱负压,11,22,-0.02205668581127362,0.02205668581127362
4#风箱负压,12,24,-0.02455187478110935,0.02455187478110935
4#风箱负压,13,26,-0.025367186712910984,0.025367186712910984
4#风箱负压,14,28,-0.015131395853638695,0.015131395853638695
4#风箱负压,15,30,-0.021403983327335282,0.021403983327335282
4#风箱负压,16,32,-0.0038807636580901503,0.0038807636580901503
4#风箱负压,17,34,0.005207241756236064,0.005207241756236064
4#风箱负压,18,36,0.01175880927423005,0.01175880927423005
4#风箱负压,19,38,0.01579101664227271,0.01579101664227271
4#风箱负压,20,40,0.014892140374193499,0.014892140374193499
4#风箱负压,21,42,0.013934090347775683,0.013934090347775683
4#风箱负压,22,44,-0.0218994458989041,0.0218994458989041
4#风箱负压,23,46,-0.0024155906965367415,0.0024155906965367415
4#风箱负压,24,48,-0.005435437301226413,0.005435437301226413
4#风箱负压,25,50,-0.05574939220555986,0.05574939220555986
4#风箱负压,26,52,-0.046856473885102654,0.046856473885102654
4#风箱负压,27,54,-0.08809179053523643,0.08809179053523643
4#风箱负压,28,56,-0.08480959087593684,0.08480959087593684
4#风箱负压,29,58,-0.036959234151721365,0.036959234151721365
4#风箱负压,30,60,-0.011124588520654784,0.011124588520654784
4#风箱负压,31,62,-0.006750045736198135,0.006750045736198135
4#风箱负压,32,64,0.008287758819936928,0.008287758819936928
4#风箱负压,33,66,0.008227387363498801,0.008227387363498801
4#风箱负压,34,68,-0.009352307172061638,0.009352307172061638
4#风箱负压,35,70,-0.02097014299858562,0.02097014299858562
4#风箱负压,36,72,-0.02360488000372447,0.02360488000372447
4#风箱负压,37,74,-0.026996894887763592,0.026996894887763592
4#风箱负压,38,76,-0.027421917604506185,0.027421917604506185
4#风箱负压,39,78,-0.020271083318400156,0.020271083318400156
4#风箱负压,40,80,-0.016076520343029463,0.016076520343029463
4#风箱负压,41,82,-0.006935358209931815,0.006935358209931815
4#风箱负压,42,84,0.0004427691863250618,0.0004427691863250618
4#风箱负压,43,86,0.004470551057790253,0.004470551057790253
4#风箱负压,44,88,0.004912130575695745,0.004912130575695745
4#风箱负压,45,90,0.0073259796079499515,0.0073259796079499515
4#风箱负压,46,92,-0.012655224059257475,0.012655224059257475
4#风箱负压,47,94,0.0027489729598914703,0.0027489729598914703
4#风箱负压,48,96,0.01068642258752394,0.01068642258752394
4#风箱负压,49,98,0.007968564171050156,0.007968564171050156
4#风箱负压,50,100,0.0017551134451261957,0.0017551134451261957
4#风箱负压,51,102,-0.004934758551348418,0.004934758551348418
4#风箱负压,52,104,-0.011212029817026603,0.011212029817026603
4#风箱负压,53,106,-0.013613529025236906,0.013613529025236906
4#风箱负压,54,108,-0.017916934977956437,0.017916934977956437
4#风箱负压,55,110,-0.022824241002842534,0.022824241002842534
4#风箱负压,56,112,-0.02484268451337261,0.02484268451337261
4#风箱负压,57,114,-0.02662207560718647,0.02662207560718647
4#风箱负压,58,116,-0.026760418377787226,0.026760418377787226
4#风箱负压,59,118,-0.02611003404200793,0.02611003404200793
4#风箱负压,60,120,-0.022246105609509733,0.022246105609509733
4#风箱负压,61,122,-0.02543202659439047,0.02543202659439047
4#风箱负压,62,124,-0.025313309966756632,0.025313309966756632
4#风箱负压,63,126,-0.02355829271989662,0.02355829271989662
4#风箱负压,64,128,-0.024202478104236612,0.024202478104236612
4#风箱负压,65,130,-0.01572446349375064,0.01572446349375064
4#风箱负压,66,132,-0.015027880264811735,0.015027880264811735
4#风箱负压,67,134,-0.01657607504022068,0.01657607504022068
4#风箱负压,68,136,-0.021366429176931226,0.021366429176931226
4#风箱负压,69,138,-0.022638616369123468,0.022638616369123468
4#风箱负压,70,140,-0.028132295012742673,0.028132295012742673
4#风箱负压,71,142,-0.028143031062683264,0.028143031062683264
4#风箱负压,72,144,-0.028572319981392116,0.028572319981392116
4#风箱负压,73,146,-0.027811455113217434,0.027811455113217434
4#风箱负压,74,148,-0.02541266575303212,0.02541266575303212
4#风箱负压,75,150,-0.025936065449903876,0.025936065449903876
4#风箱负压,76,152,-0.03123570710622624,0.03123570710622624
4#风箱负压,77,154,-0.03288405461410364,0.03288405461410364
4#风箱负压,78,156,-0.03204381112447837,0.03204381112447837
4#风箱负压,79,158,-0.03838863900599651,0.03838863900599651
4#风箱负压,80,160,-0.03585679320947394,0.03585679320947394
5#风箱负压,0,0,-0.05807124892367733,0.05807124892367733
5#风箱负压,1,2,-0.05799377395553946,0.05799377395553946
5#风箱负压,2,4,-0.04078937572626004,0.04078937572626004
5#风箱负压,3,6,-0.021241062568794777,0.021241062568794777
5#风箱负压,4,8,-0.013039152029760217,0.013039152029760217
5#风箱负压,5,10,-0.008008172836419405,0.008008172836419405
5#风箱负压,6,12,-0.0064617985677309225,0.0064617985677309225
5#风箱负压,7,14,-0.010983209564683221,0.010983209564683221
5#风箱负压,8,16,-0.013209265099776485,0.013209265099776485
5#风箱负压,9,18,-0.013396261045310923,0.013396261045310923
5#风箱负压,10,20,-0.016484972242958373,0.016484972242958373
5#风箱负压,11,22,-0.02205668581127362,0.02205668581127362
5#风箱负压,12,24,-0.02455187478110935,0.02455187478110935
5#风箱负压,13,26,-0.025367186712910984,0.025367186712910984
5#风箱负压,14,28,-0.015131395853638695,0.015131395853638695
5#风箱负压,15,30,-0.021403983327335282,0.021403983327335282
5#风箱负压,16,32,-0.0038807636580901503,0.0038807636580901503
5#风箱负压,17,34,0.005207241756236064,0.005207241756236064
5#风箱负压,18,36,0.01175880927423005,0.01175880927423005
5#风箱负压,19,38,0.01579101664227271,0.01579101664227271
5#风箱负压,20,40,0.014892140374193499,0.014892140374193499
5#风箱负压,21,42,0.013934090347775683,0.013934090347775683
5#风箱负压,22,44,-0.0218994458989041,0.0218994458989041
5#风箱负压,23,46,-0.0024155906965367415,0.0024155906965367415
5#风箱负压,24,48,-0.005435437301226413,0.005435437301226413
5#风箱负压,25,50,-0.05574939220555986,0.05574939220555986
5#风箱负压,26,52,-0.046856473885102654,0.046856473885102654
5#风箱负压,27,54,-0.08809179053523643,0.08809179053523643
5#风箱负压,28,56,-0.08480959087593684,0.08480959087593684
5#风箱负压,29,58,-0.036959234151721365,0.036959234151721365
5#风箱负压,30,60,-0.011124588520654784,0.011124588520654784
5#风箱负压,31,62,-0.006750045736198135,0.006750045736198135
5#风箱负压,32,64,0.008287758819936928,0.008287758819936928
5#风箱负压,33,66,0.008227387363498801,0.008227387363498801
5#风箱负压,34,68,-0.009352307172061638,0.009352307172061638
5#风箱负压,35,70,-0.02097014299858562,0.02097014299858562
5#风箱负压,36,72,-0.02360488000372447,0.02360488000372447
5#风箱负压,37,74,-0.026996894887763592,0.026996894887763592
5#风箱负压,38,76,-0.027421917604506185,0.027421917604506185
5#风箱负压,39,78,-0.020271083318400156,0.020271083318400156
5#风箱负压,40,80,-0.016076520343029463,0.016076520343029463
5#风箱负压,41,82,-0.006935358209931815,0.006935358209931815
5#风箱负压,42,84,0.0004427691863250618,0.0004427691863250618
5#风箱负压,43,86,0.004470551057790253,0.004470551057790253
5#风箱负压,44,88,0.004912130575695745,0.004912130575695745
5#风箱负压,45,90,0.0073259796079499515,0.0073259796079499515
5#风箱负压,46,92,-0.012655224059257475,0.012655224059257475
5#风箱负压,47,94,0.0027489729598914703,0.0027489729598914703
5#风箱负压,48,96,0.01068642258752394,0.01068642258752394
5#风箱负压,49,98,0.007968564171050156,0.007968564171050156
5#风箱负压,50,100,0.0017551134451261957,0.0017551134451261957
5#风箱负压,51,102,-0.004934758551348418,0.004934758551348418
5#风箱负压,52,104,-0.011212029817026603,0.011212029817026603
5#风箱负压,53,106,-0.013613529025236906,0.013613529025236906
5#风箱负压,54,108,-0.017916934977956437,0.017916934977956437
5#风箱负压,55,110,-0.022824241002842534,0.022824241002842534
5#风箱负压,56,112,-0.02484268451337261,0.02484268451337261
5#风箱负压,57,114,-0.02662207560718647,0.02662207560718647
5#风箱负压,58,116,-0.026760418377787226,0.026760418377787226
5#风箱负压,59,118,-0.02611003404200793,0.02611003404200793
5#风箱负压,60,120,-0.022246105609509733,0.022246105609509733
5#风箱负压,61,122,-0.02543202659439047,0.02543202659439047
5#风箱负压,62,124,-0.025313309966756632,0.025313309966756632
5#风箱负压,63,126,-0.02355829271989662,0.02355829271989662
5#风箱负压,64,128,-0.024202478104236612,0.024202478104236612
5#风箱负压,65,130,-0.01572446349375064,0.01572446349375064
5#风箱负压,66,132,-0.015027880264811735,0.015027880264811735
5#风箱负压,67,134,-0.01657607504022068,0.01657607504022068
5#风箱负压,68,136,-0.021366429176931226,0.021366429176931226
5#风箱负压,69,138,-0.022638616369123468,0.022638616369123468
5#风箱负压,70,140,-0.028132295012742673,0.028132295012742673
5#风箱负压,71,142,-0.028143031062683264,0.028143031062683264
5#风箱负压,72,144,-0.028572319981392116,0.028572319981392116
5#风箱负压,73,146,-0.027811455113217434,0.027811455113217434
5#风箱负压,74,148,-0.02541266575303212,0.02541266575303212
5#风箱负压,75,150,-0.025936065449903876,0.025936065449903876
5#风箱负压,76,152,-0.03123570710622624,0.03123570710622624
5#风箱负压,77,154,-0.03288405461410364,0.03288405461410364
5#风箱负压,78,156,-0.03204381112447837,0.03204381112447837
5#风箱负压,79,158,-0.03838863900599651,0.03838863900599651
5#风箱负压,80,160,-0.03585679320947394,0.03585679320947394
6#风箱负压,0,0,-0.20792129664363138,0.20792129664363138
6#风箱负压,1,2,-0.2051960820750836,0.2051960820750836
6#风箱负压,2,4,-0.18538350258242678,0.18538350258242678
6#风箱负压,3,6,-0.15077453640077823,0.15077453640077823
6#风箱负压,4,8,-0.11398914487571381,0.11398914487571381
6#风箱负压,5,10,-0.07656067432993573,0.07656067432993573
6#风箱负压,6,12,-0.0380520969069264,0.0380520969069264
6#风箱负压,7,14,-0.007788103207744876,0.007788103207744876
6#风箱负压,8,16,0.018345837477722206,0.018345837477722206
6#风箱负压,9,18,0.03698831445437148,0.03698831445437148
6#风箱负压,10,20,0.05103084509548841,0.05103084509548841
6#风箱负压,11,22,0.058757677603319895,0.058757677603319895
6#风箱负压,12,24,0.0674801864730026,0.0674801864730026
6#风箱负压,13,26,0.07335752530178323,0.07335752530178323
6#风箱负压,14,28,0.07636772480244351,0.07636772480244351
6#风箱负压,15,30,0.0801463802327522,0.0801463802327522
6#风箱负压,16,32,0.07658839908470907,0.07658839908470907
6#风箱负压,17,34,0.07722703802143537,0.07722703802143537
6#风箱负压,18,36,0.08561169031636216,0.08561169031636216
6#风箱负压,19,38,0.0928287527053336,0.0928287527053336
6#风箱负压,20,40,0.10146607685497809,0.10146607685497809
6#风箱负压,21,42,0.11468884637394425,0.11468884637394425
6#风箱负压,22,44,0.12538876542185143,0.12538876542185143
6#风箱负压,23,46,0.1326107129351167,0.1326107129351167
6#风箱负压,24,48,0.13278719411696085,0.13278719411696085
6#风箱负压,25,50,0.1380873764033428,0.1380873764033428
6#风箱负压,26,52,0.12792908275263545,0.12792908275263545
6#风箱负压,27,54,0.11045785391953872,0.11045785391953872
6#风箱负压,28,56,0.10259300087528021,0.10259300087528021
6#风箱负压,29,58,0.08534242627701909,0.08534242627701909
6#风箱负压,30,60,0.06105951106909821,0.06105951106909821
6#风箱负压,31,62,0.043292269545904496,0.043292269545904496
6#风箱负压,32,64,0.027413941885287462,0.027413941885287462
6#风箱负压,33,66,0.014217695490579345,0.014217695490579345
6#风箱负压,34,68,0.0181224488213595,0.0181224488213595
6#风箱负压,35,70,0.024042178229187017,0.024042178229187017
6#风箱负压,36,72,0.025526091929808193,0.025526091929808193
6#风箱负压,37,74,0.03281791462781149,0.03281791462781149
6#风箱负压,38,76,0.047280210675017496,0.047280210675017496
6#风箱负压,39,78,0.05731053800904253,0.05731053800904253
6#风箱负压,40,80,0.07099099669638442,0.07099099669638442
6#风箱负压,41,82,0.07359808109356414,0.07359808109356414
6#风箱负压,42,84,0.06706893845989548,0.06706893845989548
6#风箱负压,43,86,0.06093074599090872,0.06093074599090872
6#风箱负压,44,88,0.04899818144605949,0.04899818144605949
6#风箱负压,45,90,0.046749600973591605,0.046749600973591605
6#风箱负压,46,92,0.04291104061120664,0.04291104061120664
